video_id,publish_ts,title,thumbnail_def,thumbnail_mq,thumbnail_hq,channel_title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,thumbnail_location
Sa_kQheCnds,2018-12-13T18:00:42Z,Python Django Tutorial: Deploying Your Application (Option #1) - Deploy to a Linux Server,https://i.ytimg.com/vi/Sa_kQheCnds/default.jpg,https://i.ytimg.com/vi/Sa_kQheCnds/mqdefault.jpg,https://i.ytimg.com/vi/Sa_kQheCnds/hqdefault.jpg,Corey Schafer,288333,4859,34,0,748,./thumbnails/Sa_kQheCnds.jpg
Qu3dThVy6KQ,2018-11-13T01:59:50Z,Python Tutorial: Itertools Module - Iterator Functions for Efficient Looping,https://i.ytimg.com/vi/Qu3dThVy6KQ/default.jpg,https://i.ytimg.com/vi/Qu3dThVy6KQ/mqdefault.jpg,https://i.ytimg.com/vi/Qu3dThVy6KQ/hqdefault.jpg,Corey Schafer,150259,4263,27,0,213,./thumbnails/Qu3dThVy6KQ.jpg
C3Z9lJXI6Qw,2018-10-24T14:36:17Z,Python Coding Problem: Creating Your Own Iterators,https://i.ytimg.com/vi/C3Z9lJXI6Qw/default.jpg,https://i.ytimg.com/vi/C3Z9lJXI6Qw/mqdefault.jpg,https://i.ytimg.com/vi/C3Z9lJXI6Qw/hqdefault.jpg,Corey Schafer,44002,2048,5,0,206,./thumbnails/C3Z9lJXI6Qw.jpg
jTYiNjvnHZY,2018-10-24T14:36:06Z,Python Tutorial: Iterators and Iterables - What Are They and How Do They Work?,https://i.ytimg.com/vi/jTYiNjvnHZY/default.jpg,https://i.ytimg.com/vi/jTYiNjvnHZY/mqdefault.jpg,https://i.ytimg.com/vi/jTYiNjvnHZY/hqdefault.jpg,Corey Schafer,248177,7693,46,0,261,./thumbnails/jTYiNjvnHZY.jpg
zDYL22QNiWk,2018-10-17T17:55:36Z,Python Tutorial: Pipenv - Easily Manage Packages and Virtual Environments,https://i.ytimg.com/vi/zDYL22QNiWk/default.jpg,https://i.ytimg.com/vi/zDYL22QNiWk/mqdefault.jpg,https://i.ytimg.com/vi/zDYL22QNiWk/hqdefault.jpg,Corey Schafer,147286,4043,28,0,256,./thumbnails/zDYL22QNiWk.jpg
-tyBEsHSv7w,2018-08-31T15:11:29Z,Python Django Tutorial: Full-Featured Web App Part 12 - Email and Password Reset,https://i.ytimg.com/vi/-tyBEsHSv7w/default.jpg,https://i.ytimg.com/vi/-tyBEsHSv7w/mqdefault.jpg,https://i.ytimg.com/vi/-tyBEsHSv7w/hqdefault.jpg,Corey Schafer,167193,4333,31,0,1087,./thumbnails/-tyBEsHSv7w.jpg
acOktTcTVEQ,2018-08-31T15:11:07Z,Python Django Tutorial: Full-Featured Web App Part 11 - Pagination,https://i.ytimg.com/vi/acOktTcTVEQ/default.jpg,https://i.ytimg.com/vi/acOktTcTVEQ/mqdefault.jpg,https://i.ytimg.com/vi/acOktTcTVEQ/hqdefault.jpg,Corey Schafer,168141,4556,24,0,496,./thumbnails/acOktTcTVEQ.jpg
-s7e_Fy6NRU,2018-08-31T15:10:53Z,"Python Django Tutorial: Full-Featured Web App Part 10 - Create, Update, and Delete Posts",https://i.ytimg.com/vi/-s7e_Fy6NRU/default.jpg,https://i.ytimg.com/vi/-s7e_Fy6NRU/mqdefault.jpg,https://i.ytimg.com/vi/-s7e_Fy6NRU/hqdefault.jpg,Corey Schafer,273971,6202,32,0,717,./thumbnails/-s7e_Fy6NRU.jpg
CQ90L5jfldw,2018-08-31T15:10:37Z,Python Django Tutorial: Full-Featured Web App Part 9 - Update User Profile,https://i.ytimg.com/vi/CQ90L5jfldw/default.jpg,https://i.ytimg.com/vi/CQ90L5jfldw/mqdefault.jpg,https://i.ytimg.com/vi/CQ90L5jfldw/hqdefault.jpg,Corey Schafer,210804,5770,19,0,620,./thumbnails/CQ90L5jfldw.jpg
FdVuKt_iuSI,2018-08-31T15:10:18Z,Python Django Tutorial: Full-Featured Web App Part 8 - User Profile and Picture,https://i.ytimg.com/vi/FdVuKt_iuSI/default.jpg,https://i.ytimg.com/vi/FdVuKt_iuSI/mqdefault.jpg,https://i.ytimg.com/vi/FdVuKt_iuSI/hqdefault.jpg,Corey Schafer,312932,7626,37,0,1117,./thumbnails/FdVuKt_iuSI.jpg
3aVqWaLjqS4,2018-08-31T15:09:14Z,Python Django Tutorial: Full-Featured Web App Part 7 - Login and Logout System,https://i.ytimg.com/vi/3aVqWaLjqS4/default.jpg,https://i.ytimg.com/vi/3aVqWaLjqS4/mqdefault.jpg,https://i.ytimg.com/vi/3aVqWaLjqS4/hqdefault.jpg,Corey Schafer,365669,8738,62,0,478,./thumbnails/3aVqWaLjqS4.jpg
